Date,
10/2/22 23:59,294.2708309
10/3/22 23:59,294.2708306
10/4/22 23:59,284.4714167
10/5/22 23:59,284.4714167
10/6/22 23:59,282.6624249
10/7/22 23:59,282.6624249
10/8/22 23:59,281.1608892
10/9/22 23:59,281.1608893
10/10/22 23:59,289.4422573
10/11/22 23:59,289.4422573
10/12/22 23:59,284.7481283
10/13/22 23:59,284.7481282
10/14/22 23:59,281.4532137
10/15/22 23:59,281.4532138
10/16/22 23:59,284.3553097
10/17/22 23:59,284.3553097
10/18/22 23:59,287.0238349
10/19/22 23:59,287.023835
10/20/22 23:59,294.7857302
10/21/22 23:59,294.7857303
10/22/22 23:59,296.7502827
10/23/22 23:59,296.7502828
10/24/22 23:59,298.4298741
10/25/22 23:59,298.4298744
10/26/22 23:59,320.4870705
10/27/22 23:59,320.4870707
10/28/22 23:59,316.8754877
10/29/22 23:59,316.8754875
10/30/22 23:59,309.0007239
10/31/22 23:59,309.0007239
11/1/22 23:59,313.9733916
11/2/22 23:59,313.9733917
11/3/22 23:59,317.113205
11/4/22 23:59,317.1132051
11/5/22 23:59,312.3071157
11/6/22 23:59,312.3071155
11/7/22 23:59,302.703646
11/8/22 23:59,302.7036456
11/9/22 23:59,294.9798364
11/10/22 23:59,294.9798365
11/11/22 23:59,298.4009677
11/12/22 23:59,298.4009678
11/13/22 23:59,300.2535598
11/14/22 23:59,300.25356
11/15/22 23:59,305.9458025
11/16/22 23:59,305.9458024
11/17/22 23:59,303.7320443
11/18/22 23:59,303.7320443
11/19/22 23:59,303.4879154
11/20/22 23:59,303.4879154
11/21/22 23:59,296.4501684
11/22/22 23:59,296.4501681
11/23/22 23:59,293.1749804
11/24/22 23:59,293.1749804
11/25/22 23:59,295.4465513
11/26/22 23:59,295.4465514
11/27/22 23:59,296.7948022
11/28/22 23:59,296.7948021
11/29/22 23:59,296.0646911
11/30/22 23:59,296.0646912
12/1/22 23:59,301.0281903
12/2/22 23:59,301.0281902
12/3/22 23:59,297.3707311
12/4/22 23:59,297.3707311
12/5/22 23:59,297.6575413
12/6/22 23:59,297.6575414
12/7/22 23:59,299.2737946
12/8/22 23:59,299.2737945
12/9/22 23:59,298.8617087
12/10/22 23:59,298.8617087
12/11/22 23:59,297.7672259
12/12/22 23:59,297.7672259
12/13/22 23:59,294.8141772
12/14/22 23:59,294.8141772
12/15/22 23:59,296.3432408
12/16/22 23:59,296.3432408
12/17/22 23:59,298.5905005
12/18/22 23:59,298.5905005
12/19/22 23:59,299.4936123
12/20/22 23:59,299.4936124
12/21/22 23:59,299.9034225
12/22/22 23:59,299.9034225
12/23/22 23:59,299.9139697
12/24/22 23:59,299.9139698
12/25/22 23:59,304.033997
12/26/22 23:59,304.0339971
12/27/22 23:59,304.9403365
12/28/22 23:59,304.9403369
12/29/22 23:59,340.7357128
12/30/22 23:59,340.7357138
12/31/22 23:59,340.7357138
1/1/23 23:59,340.7357138
1/2/23 23:59,339.4885798
1/3/23 23:59,338.2414457
1/4/23 23:59,336.9312905
1/5/23 23:59,335.6211353
1/6/23 23:59,334.3055972
1/7/23 23:59,332.9900591
1/8/23 23:59,331.6996138
1/9/23 23:59,330.4091685
1/10/23 23:59,329.0919921
1/11/23 23:59,327.7748156
1/12/23 23:59,326.4291642
1/13/23 23:59,325.0835129
1/14/23 23:59,323.7596823
1/15/23 23:59,322.4358518
1/16/23 23:59,321.0926876
1/17/23 23:59,319.7495235
1/18/23 23:59,318.417217
1/19/23 23:59,317.0849106
1/20/23 23:59,315.7516587
1/21/23 23:59,314.4184069
1/22/23 23:59,313.0878948
1/23/23 23:59,311.7573827
1/24/23 23:59,310.4080692
1/25/23 23:59,309.0587557
1/26/23 23:59,307.3717996
1/27/23 23:59,305.6848435
1/28/23 23:59,304.018203
1/29/23 23:59,302.3515626
1/30/23 23:59,300.6622981
1/31/23 23:59,298.9730336
2/1/23 23:59,297.2943056
2/2/23 23:59,295.6155777
2/3/23 23:59,294.0354267
2/4/23 23:59,292.4552757
2/5/23 23:59,290.9491137
2/6/23 23:59,289.4429517
2/7/23 23:59,287.9043315
2/8/23 23:59,286.3657112
2/9/23 23:59,284.7431346
2/10/23 23:59,283.120558
2/11/23 23:59,281.5015425
2/12/23 23:59,279.882527
2/13/23 23:59,278.2559028
2/14/23 23:59,276.6292787
2/15/23 23:59,274.9776581
2/16/23 23:59,273.3260375
2/17/23 23:59,271.5246263
2/18/23 23:59,269.7232151
2/19/23 23:59,267.4804949
2/20/23 23:59,265.2377747
2/21/23 23:59,262.4788433
2/22/23 23:59,266.4834539
2/23/23 23:59,270.4880646
2/24/23 23:59,274.2469232
2/25/23 23:59,278.0057818
2/26/23 23:59,281.5832315
2/27/23 23:59,285.1606811
2/28/23 23:59,288.8789454
3/1/23 23:59,292.5972096
3/2/23 23:59,296.1825846
3/3/23 23:59,299.7679596
3/4/23 23:59,303.4194442
3/5/23 23:59,307.0709289
3/6/23 23:59,310.7285397
3/7/23 23:59,314.3861504
3/8/23 23:59,317.5882356
3/9/23 23:59,320.7903207
3/10/23 23:59,324.0904688
3/11/23 23:59,327.390617
3/12/23 23:59,330.5539523
3/13/23 23:59,333.7172876
3/14/23 23:59,336.2857604
3/15/23 23:59,338.8542331
3/16/23 23:59,341.5281022
3/17/23 23:59,344.2019713
3/18/23 23:59,346.8502106
3/19/23 23:59,349.49845
3/20/23 23:59,352.092378
3/21/23 23:59,354.686306
3/22/23 23:59,357.2494783
3/23/23 23:59,359.8126506
3/24/23 23:59,362.2714591
3/25/23 23:59,364.7302676
3/26/23 23:59,367.4921589
3/27/23 23:59,370.2540502
3/28/23 23:59,373.0729189
3/29/23 23:59,375.8917875
3/30/23 23:59,378.5829893
3/31/23 23:59,381.2741911
4/1/23 23:59,383.9329576
4/2/23 23:59,386.5917242
4/3/23 23:59,389.1801362
4/4/23 23:59,391.7685482
4/5/23 23:59,394.3474564
4/6/23 23:59,396.9263646
4/7/23 23:59,399.6354084
4/8/23 23:59,402.3444523
4/9/23 23:59,404.9625417
4/10/23 23:59,407.5806311
4/11/23 23:59,410.1847468
4/12/23 23:59,412.7888625
4/13/23 23:59,415.4592575
4/14/23 23:59,418.1296526
4/15/23 23:59,420.7788418
4/16/23 23:59,423.4280309
4/17/23 23:59,426.1600475
4/18/23 23:59,428.8920641
4/19/23 23:59,431.6524915
4/20/23 23:59,434.4129188
4/21/23 23:59,437.1626446
4/22/23 23:59,439.9123704
4/23/23 23:59,442.691186
4/24/23 23:59,445.4700017
4/25/23 23:59,448.2998657
4/26/23 23:59,451.1297297
4/27/23 23:59,453.9403519
4/28/23 23:59,456.7509742
4/29/23 23:59,459.6073949
4/30/23 23:59,462.4638156
5/1/23 23:59,465.3574397
5/2/23 23:59,468.2510638
5/3/23 23:59,471.1397684
5/4/23 23:59,474.0284731
5/5/23 23:59,476.8905521
5/6/23 23:59,479.7526311
5/7/23 23:59,482.5469394
5/8/23 23:59,485.3412476
5/9/23 23:59,488.1622686
5/10/23 23:59,490.9832896
5/11/23 23:59,493.8347358
5/12/23 23:59,496.686182
5/13/23 23:59,499.5301986
5/14/23 23:59,502.3742152
5/15/23 23:59,505.2072228
5/16/23 23:59,505.2072228
5/17/23 23:59,503.9600888
5/18/23 23:59,502.7129547
5/19/23 23:59,501.4027995
5/20/23 23:59,500.0926443
5/21/23 23:59,498.7771062
5/22/23 23:59,497.4615681
5/23/23 23:59,496.1711228
5/24/23 23:59,494.8806775
5/25/23 23:59,493.5635011
5/26/23 23:59,492.2463246
5/27/23 23:59,490.9006732
5/28/23 23:59,489.5550218
5/29/23 23:59,488.2311913
5/30/23 23:59,486.9073607
5/31/23 23:59,485.5641966
6/1/23 23:59,484.2210325
6/2/23 23:59,482.888726
6/3/23 23:59,481.5564195
6/4/23 23:59,480.2231677
6/5/23 23:59,478.8899159
6/6/23 23:59,477.5594038
6/7/23 23:59,476.2288917
6/8/23 23:59,474.8795782
6/9/23 23:59,473.5302647
6/10/23 23:59,471.8433086
6/11/23 23:59,470.1563524
6/12/23 23:59,468.489712
6/13/23 23:59,466.8230715
6/14/23 23:59,465.1338071
6/15/23 23:59,463.4445426
6/16/23 23:59,461.7658146
6/17/23 23:59,460.0870866
6/18/23 23:59,458.5069356
6/19/23 23:59,456.9267846
6/20/23 23:59,455.4206227
6/21/23 23:59,453.9144607
6/22/23 23:59,452.3758404
6/23/23 23:59,450.8372202
6/24/23 23:59,449.2146436
6/25/23 23:59,447.592067
6/26/23 23:59,445.9730514
6/27/23 23:59,444.3540359
6/28/23 23:59,442.7274118
6/29/23 23:59,441.1007877
6/30/23 23:59,439.4491671
7/1/23 23:59,437.7975465
7/2/23 23:59,435.9961353
7/3/23 23:59,434.194724
7/4/23 23:59,431.9520039
7/5/23 23:59,429.7092837
7/6/23 23:59,426.9503523
7/7/23 23:59,424.1914209
7/8/23 23:59,421.5099524
7/9/23 23:59,418.8284839
7/10/23 23:59,416.0726226
7/11/23 23:59,413.3167613
7/12/23 23:59,410.6767547
7/13/23 23:59,408.0367481
7/14/23 23:59,405.4069338
7/15/23 23:59,402.7771195
7/16/23 23:59,399.8729774
7/17/23 23:59,396.9688353
7/18/23 23:59,393.2655085
7/19/23 23:59,389.5621818
7/20/23 23:59,385.8520035
7/21/23 23:59,382.1418253
7/22/23 23:59,378.3798552
7/23/23 23:59,374.617885
7/24/23 23:59,369.8623113
7/25/23 23:59,365.1067376
7/26/23 23:59,359.816491
7/27/23 23:59,354.5262444
7/28/23 23:59,348.6540669
7/29/23 23:59,342.7818895
7/30/23 23:59,338.3159342
7/31/23 23:59,333.8499788
8/1/23 23:59,329.5513257
8/2/23 23:59,325.2526725
8/3/23 23:59,321.779949
8/4/23 23:59,318.3072256
8/5/23 23:59,314.6347278
8/6/23 23:59,310.96223
8/7/23 23:59,307.4413722
8/8/23 23:59,303.9205144
8/9/23 23:59,300.4672944
8/10/23 23:59,297.0140745
8/11/23 23:59,293.1201193
8/12/23 23:59,289.226164
8/13/23 23:59,285.0093335
8/14/23 23:59,280.792503
8/15/23 23:59,276.3012621
8/16/23 23:59,271.8100211
