"","Point.Forecast","Lo.51","Hi.51"
"249",2272.10415620233,749.553464040689,3794.65484836397
"250",2272.10415620233,744.012627132799,3800.19568527186
"251",2272.10415620233,738.472313907569,3805.73599849709
"252",2272.10415620233,732.932449994728,3811.27586240993
"253",2272.10415620233,727.392961849101,3816.81535055556
"254",2272.10415620233,721.853776734819,3822.35453566984
"255",2272.10415620233,716.314822709895,3827.89348969476
"256",2272.10415620233,710.776028611169,3833.43228379349
"257",2272.10415620233,705.237324039595,3838.97098836506
"258",2272.10415620233,699.698639345876,3844.50967305878
"259",2272.10415620233,694.159905616428,3850.04840678823
"260",2272.10415620233,688.621054659663,3855.587257745
"261",2272.10415620233,683.08201899259,3861.12629341207
"262",2272.10415620233,677.542731827717,3866.66558057694
"263",2272.10415620233,672.00312706025,3872.20518534441
"264",2272.10415620233,666.46313925558,3877.74517314908
"265",2272.10415620233,660.922703637052,3883.28560876761
"266",2272.10415620233,655.381756074,3888.82655633066
"267",2272.10415620233,649.840233070056,3894.3680793346
"268",2272.10415620233,644.298071751705,3899.91024065295
"269",2272.10415620233,638.75520985711,3905.45310254755
"270",2272.10415620233,633.211585725155,3910.9967266795
"271",2272.10415620233,627.667138284753,3916.54117411991
"272",2272.10415620233,622.121807044364,3922.08650536029
"273",2272.10415620233,616.575532081751,3927.63278032291
"274",2272.10415620233,611.028254033951,3933.18005837071
"275",2272.10415620233,605.479914087461,3938.7283983172
"276",2272.10415620233,599.930453968628,3944.27785843603
"277",2272.10415620233,594.379815934252,3949.82849647041
"278",2272.10415620233,588.827942762376,3955.38036964228
"279",2272.10415620233,583.274777743272,3960.93353466139
"280",2272.10415620233,577.720264670618,3966.48804773404
"281",2272.10415620233,572.164347832856,3972.0439645718
"282",2272.10415620233,566.606972004725,3977.60134039993
"283",2272.10415620233,561.048082438973,3983.16022996569
"284",2272.10415620233,555.487624858236,3988.72068754642
"285",2272.10415620233,549.925545447082,3994.28276695758
"286",2272.10415620233,544.361790844216,3999.84652156044
"287",2272.10415620233,538.796308134844,4005.41200426981
"288",2272.10415620233,533.229044843191,4010.97926756147
"289",2272.10415620233,527.659948925162,4016.5483634795
"290",2272.10415620233,522.088968761159,4022.1193436435
"291",2272.10415620233,516.516053149034,4027.69225925562
"292",2272.10415620233,510.94115129718,4033.26716110748
"293",2272.10415620233,505.364212817761,4038.8440995869
"294",2272.10415620233,499.785187720074,4044.42312468458
"295",2272.10415620233,494.204026404041,4050.00428600062
"296",2272.10415620233,488.620679653822,4055.58763275084
"297",2272.10415620233,483.035098631558,4061.1732137731
"298",2272.10415620233,477.447234871228,4066.76107753343
"299",2272.10415620233,471.857040272633,4072.35127213202
"300",2272.10415620233,466.264467095481,4077.94384530918
"301",2272.10415620233,460.669467953593,4083.53884445107
"302",2272.10415620233,455.071995809222,4089.13631659544
"303",2272.10415620233,449.472003967469,4094.73630843719
"304",2272.10415620233,443.869446070809,4100.33886633385
"305",2272.10415620233,438.264276093718,4105.94403631094
"306",2272.10415620233,432.656448337405,4111.55186406725
"307",2272.10415620233,427.045917424628,4117.16239498003
"308",2272.10415620233,421.432638294622,4122.77567411004
"309",2272.10415620233,415.816566198109,4128.39174620655
"310",2272.10415620233,410.197656692399,4134.01065571226
"311",2272.10415620233,404.575865636589,4139.63244676807
"312",2272.10415620233,398.951149186842,4145.25716321782
"313",2272.10415620233,393.323463791747,4150.88484861291
"314",2272.10415620233,387.692766187775,4156.51554621688
"315",2272.10415620233,382.059013394804,4162.14929900985
"316",2272.10415620233,376.422162711731,4167.78614969293
"317",2272.10415620233,370.782171712158,4173.4261406925
"318",2272.10415620233,365.138998240159,4179.0693141645
"319",2272.10415620233,359.492600406115,4184.71571199854
"320",2272.10415620233,353.842936582625,4190.36537582203
"321",2272.10415620233,348.189965400493,4196.01834700416
"322",2272.10415620233,342.533645744775,4201.67466665988
"323",2272.10415620233,336.873936750903,4207.33437565376
"324",2272.10415620233,331.210797800874,4212.99751460378
"325",2272.10415620233,325.5441885195,4218.66412388516
"326",2272.10415620233,319.874068770726,4224.33424363393
"327",2272.10415620233,314.200398654015,4230.00791375064
"328",2272.10415620233,308.523138500779,4235.68517390388
"329",2272.10415620233,302.842248870896,4241.36606353376
"330",2272.10415620233,297.157690549255,4247.0506218554
"331",2272.10415620233,291.469424542385,4252.73888786227
"332",2272.10415620233,285.777412075128,4258.43090032953
"333",2272.10415620233,280.081614587362,4264.1266978173
"334",2272.10415620233,274.381993730799,4269.82631867386
"335",2272.10415620233,268.678511365808,4275.52980103885
"336",2272.10415620233,262.971129558316,4281.23718284634
"337",2272.10415620233,257.259810576742,4286.94850182792
"338",2272.10415620233,251.544516888991,4292.66379551567
"339",2272.10415620233,245.825211159491,4298.38310124517
"340",2272.10415620233,240.101856246283,4304.10645615838
"341",2272.10415620233,234.374415198151,4309.83389720651
"342",2272.10415620233,228.642851251811,4315.56546115285
"343",2272.10415620233,222.907127829126,4321.30118457553
"344",2272.10415620233,217.167208534384,4327.04110387028
"345",2272.10415620233,211.423057151609,4332.78525525305
"346",2272.10415620233,205.674637641916,4338.53367476274
"347",2272.10415620233,199.921914140907,4344.28639826375
"348",2272.10415620233,194.164850956116,4350.04346144854
"349",2272.10415620233,188.403412564479,4355.80489984018
"350",2272.10415620233,182.637563609861,4361.5707487948
"351",2272.10415620233,176.8672689006,4367.34104350406
"352",2272.10415620233,171.092493407117,4373.11581899754
"353",2272.10415620233,165.313202259536,4378.89511014512
"354",2272.10415620233,159.529360745353,4384.67895165931
"355",2272.10415620233,153.740934307145,4390.46737809751
"356",2272.10415620233,147.947888540305,4396.26042386435
"357",2272.10415620233,142.150189190811,4402.05812321385
"358",2272.10415620233,136.347802153043,4407.86051025162
"359",2272.10415620233,130.54069346761,4413.66761893705
"360",2272.10415620233,124.728829319234,4419.47948308542
"361",2272.10415620233,118.912176034643,4425.29613637002
"362",2272.10415620233,113.090700080515,4431.11761232414
"363",2272.10415620233,107.264368061441,4436.94394434322
"364",2272.10415620233,101.433146717916,4442.77516568674
"365",2272.10415620233,95.5970029243758,4448.61130948028
"366",2272.10415620233,89.755903687239,4454.45240871742
"367",2272.10415620233,83.9098161429984,4460.29849626166
"368",2272.10415620233,78.058707556329,4466.14960484833
"369",2272.10415620233,72.2025453182287,4472.00576708643
"370",2272.10415620233,66.3412969441792,4477.86701546048
"371",2272.10415620233,60.4749300723424,4483.73338233232
"372",2272.10415620233,54.6034124617763,4489.60489994288
"373",2272.10415620233,48.7267119906787,4495.48160041398
"374",2272.10415620233,42.8447966546573,4501.36351575
"375",2272.10415620233,36.957634565018,4507.25067783964
"376",2272.10415620233,31.0651939470877,4513.14311845757
"377",2272.10415620233,25.1674431385536,4519.0408692661
"378",2272.10415620233,19.2643505878254,4524.94396181683
"379",2272.10415620233,13.3558848524244,4530.85242755223
"380",2272.10415620233,7.44201459739452,4536.76629780726
"381",2272.10415620233,1.52270859373175,4542.68560381093
"382",2272.10415620233,-4.4020642831606,4548.61037668782
"383",2272.10415620233,-10.3323350549986,4554.54064745966
"384",2272.10415620233,-16.2681346421186,4560.47644704678
"385",2272.10415620233,-22.2094938649643,4566.41780626962
"386",2272.10415620233,-28.1564434455468,4572.36475585021
"387",2272.10415620233,-34.1090140088886,4578.31732641355
"388",2272.10415620233,-40.0672360844501,4584.27554848911
"389",2272.10415620233,-46.0311401075282,4590.23945251219
"390",2272.10415620233,-52.0007564206485,4596.20906882531
"391",2272.10415620233,-57.9761152749265,4602.18442767959
"392",2272.10415620233,-63.9572468314191,4608.16555923608
"393",2272.10415620233,-69.9441811624552,4614.15249356711
"394",2272.10415620233,-75.9369482529473,4620.14526065761
"395",2272.10415620233,-81.935578001689,4626.14389040635
"396",2272.10415620233,-87.9401002226318,4632.14841262729
"397",2272.10415620233,-93.9505446461467,4638.1588570508
"398",2272.10415620233,-99.9669409202729,4644.17525332493
"399",2272.10415620233,-105.989318611942,4650.1976310166
"400",2272.10415620233,-112.017707208194,4656.22601961285
"401",2272.10415620233,-118.052136117374,4662.26044852203
"402",2272.10415620233,-124.092634670315,4668.30094707497
"403",2272.10415620233,-130.139232121502,4674.34754452616
"404",2272.10415620233,-136.191957650227,4680.40027005489
"405",2272.10415620233,-142.250840361725,4686.45915276638
"406",2272.10415620233,-148.315909288295,4692.52422169295
"407",2272.10415620233,-154.38719339041,4698.59550579507
"408",2272.10415620233,-160.464721557812,4704.67303396247
"409",2272.10415620233,-166.548522610592,4710.75683501525
"410",2272.10415620233,-172.638625300256,4716.84693770492
"411",2272.10415620233,-178.735058310781,4722.94337071544
"412",2272.10415620233,-184.837850259656,4729.04616266431
"413",2272.10415620233,-190.947029698904,4735.15534210356
"414",2272.10415620233,-197.062625116106,4741.27093752077
"415",2272.10415620233,-203.184664935398,4747.39297734006
"416",2272.10415620233,-209.313177518463,4753.52148992312
"417",2272.10415620233,-215.448191165507,4759.65650357017
"418",2272.10415620233,-221.58973411623,4765.79804652089
"419",2272.10415620233,-227.737834550777,4771.94614695544
"420",2272.10415620233,-233.892520590682,4778.10083299534
"421",2272.10415620233,-240.053820299799,4784.26213270446
"422",2272.10415620233,-246.221761685226,4790.43007408988
"423",2272.10415620233,-252.396372698208,4796.60468510287
"424",2272.10415620233,-258.577681235045,4802.7859936397
"425",2272.10415620233,-264.765715137971,4808.97402754263
"426",2272.10415620233,-270.960502196036,4815.16881460069
"427",2272.10415620233,-277.162070145975,4821.37038255063
"428",2272.10415620233,-283.37044667306,4827.57875907772
"429",2272.10415620233,-289.585659411953,4833.79397181661
"430",2272.10415620233,-295.807735947538,4840.0160483522
"431",2272.10415620233,-302.036703815752,4846.24501622041
"432",2272.10415620233,-308.272590504401,4852.48090290906
"433",2272.10415620233,-314.515423453969,4858.72373585863
"434",2272.10415620233,-320.765230058419,4864.97354246308
"435",2272.10415620233,-327.022037665979,4871.23035007064
"436",2272.10415620233,-333.285873579927,4877.49418598459
"437",2272.10415620233,-339.556765059362,4883.76507746402
"438",2272.10415620233,-345.834739319967,4890.04305172463
"439",2272.10415620233,-352.119823534766,4896.32813593942
"440",2272.10415620233,-358.412044834866,4902.62035723952
"441",2272.10415620233,-364.711430310198,4908.91974271486
"442",2272.10415620233,-371.018007010249,4915.22631941491
"443",2272.10415620233,-377.33180194478,4921.54011434944
"444",2272.10415620233,-383.652842084541,4927.8611544892
"445",2272.10415620233,-389.981154361977,4934.18946676663
"446",2272.10415620233,-396.316765671927,4940.52507807659
"447",2272.10415620233,-402.659702872315,4946.86801527697
"448",2272.10415620233,-409.009992784829,4953.21830518949
"449",2272.10415620233,-415.367662195602,4959.57597460026
"450",2272.10415620233,-421.732737855876,4965.94105026054
"451",2272.10415620233,-428.105246482667,4972.31355888733
"452",2272.10415620233,-434.485214759417,4978.69352716408
"453",2272.10415620233,-440.872669336638,4985.0809817413
"454",2272.10415620233,-447.267636832559,4991.47594923722
"455",2272.10415620233,-453.670143833755,4997.87845623841
"456",2272.10415620233,-460.08021689577,5004.28852930043
"457",2272.10415620233,-466.497882543748,5010.70619494841
"458",2272.10415620233,-472.923167273035,5017.13147967769
"459",2272.10415620233,-479.356097549794,5023.56440995445
"460",2272.10415620233,-485.796699811601,5030.00501221626
"461",2272.10415620233,-492.245000468043,5036.4533128727
"462",2272.10415620233,-498.701025901305,5042.90933830596
"463",2272.10415620233,-505.164802466753,5049.37311487141
"464",2272.10415620233,-511.63635649351,5055.84466889817
"465",2272.10415620233,-518.115714285025,5062.32402668968
"466",2272.10415620233,-524.602902119644,5068.8112145243
"467",2272.10415620233,-531.097946251159,5075.30625865582
"468",2272.10415620233,-537.600872909372,5081.80918531403
"469",2272.10415620233,-544.111708300635,5088.32002070529
"470",2272.10415620233,-550.630478608399,5094.83879101306
"471",2272.10415620233,-557.157209993743,5101.3655223984
"472",2272.10415620233,-563.691928595916,5107.90024100057
"473",2272.10415620233,-570.234660532852,5114.44297293751
"474",2272.10415620233,-576.785431901701,5120.99374430636
"475",2272.10415620233,-583.344268779339,5127.552581184
"476",2272.10415620233,-589.911197222884,5134.11950962754
"477",2272.10415620233,-596.486243270197,5140.69455567486
"478",2272.10415620233,-603.069432940387,5147.27774534505
"479",2272.10415620233,-609.660792234306,5153.86910463896
"480",2272.10415620233,-616.260347135041,5160.4686595397
"481",2272.10415620233,-622.868123608402,5167.07643601306
"482",2272.10415620233,-629.4841476034,5173.69246000806
"483",2272.10415620233,-636.108445052733,5180.31675745739
"484",2272.10415620233,-642.741041873248,5186.94935427791
"485",2272.10415620233,-649.381963966422,5193.59027637108
"486",2272.10415620233,-656.031237218816,5200.23954962347
"487",2272.10415620233,-662.688887502542,5206.8971999072
"488",2272.10415620233,-669.354940675716,5213.56325308037
"489",2272.10415620233,-676.029422582908,5220.23773498757
"490",2272.10415620233,-682.712359055593,5226.92067146025
"491",2272.10415620233,-689.403775912594,5233.61208831725
"492",2272.10415620233,-696.103698960516,5240.31201136517
"493",2272.10415620233,-702.812153994188,5247.02046639885
"494",2272.10415620233,-709.529166797091,5253.73747920175
"495",2272.10415620233,-716.254763141784,5260.46307554644
"496",2272.10415620233,-722.988968790332,5267.19728119499
"497",2272.10415620233,-729.731809494723,5273.94012189938
"498",2272.10415620233,-736.483310997283,5280.69162340194
"499",2272.10415620233,-743.24349903109,5287.45181143575
"500",2272.10415620233,-750.012399320385,5294.22071172504
"501",2272.10415620233,-756.79003758097,5300.99834998563
"502",2272.10415620233,-763.576439520621,5307.78475192528
"503",2272.10415620233,-770.371630839472,5314.57994324413
"504",2272.10415620233,-777.175637230423,5321.38394963508
"505",2272.10415620233,-783.988484379522,5328.19679678418
