Date,BNB
4/8/23 23:59,620.1548621
4/9/23 23:59,620.482656
4/10/23 23:59,620.810096
4/11/23 23:59,621.1371833
4/12/23 23:59,621.4639191
4/13/23 23:59,621.7903045
4/14/23 23:59,622.1163406
4/15/23 23:59,622.4420285
4/16/23 23:59,622.7673694
4/17/23 23:59,623.0923643
4/18/23 23:59,623.4170144
4/19/23 23:59,623.7413207
4/20/23 23:59,624.0652844
4/21/23 23:59,624.3889064
4/22/23 23:59,624.712188
4/23/23 23:59,625.0351302
4/24/23 23:59,625.357734
4/25/23 23:59,625.6800005
4/26/23 23:59,626.0019307
4/27/23 23:59,626.3235258
4/28/23 23:59,626.6447867
4/29/23 23:59,626.9657145
4/30/23 23:59,627.2863102
5/1/23 23:59,627.6065749
5/2/23 23:59,627.9265095
5/3/23 23:59,628.2461152
5/4/23 23:59,628.5653928
5/5/23 23:59,628.8843435
5/6/23 23:59,629.2029682
5/7/23 23:59,629.5212679
5/8/23 23:59,629.8392436
5/9/23 23:59,630.1568963
5/10/23 23:59,630.474227
5/11/23 23:59,630.7912367
5/12/23 23:59,631.1079262
5/13/23 23:59,631.4242967
5/14/23 23:59,631.740349
5/15/23 23:59,632.0560842
5/16/23 23:59,632.3715031
5/17/23 23:59,632.6866067
5/18/23 23:59,633.001396
5/19/23 23:59,633.3158719
5/20/23 23:59,633.6300353
5/21/23 23:59,633.9438872
5/22/23 23:59,634.2574285
5/23/23 23:59,634.57066
5/24/23 23:59,634.8835829
5/25/23 23:59,635.1961978
5/26/23 23:59,635.5085058
5/27/23 23:59,635.8205077
5/28/23 23:59,636.1322045
5/29/23 23:59,636.443597
5/30/23 23:59,636.7546861
5/31/23 23:59,637.0654728
6/1/23 23:59,637.3759578
6/2/23 23:59,637.6861421
6/3/23 23:59,637.9960266
6/4/23 23:59,638.305612
6/5/23 23:59,638.6148993
6/6/23 23:59,638.9238894
6/7/23 23:59,639.2325831
6/8/23 23:59,639.5409811
6/9/23 23:59,639.8490845
6/10/23 23:59,640.156894
6/11/23 23:59,640.4644105
6/12/23 23:59,640.7716347
6/13/23 23:59,641.0785677
6/14/23 23:59,641.38521
6/15/23 23:59,641.6915627
6/16/23 23:59,641.9976264
6/17/23 23:59,642.3034021
6/18/23 23:59,642.6088905
6/19/23 23:59,642.9140925
6/20/23 23:59,643.2190088
6/21/23 23:59,643.5236403
6/22/23 23:59,643.8279876
6/23/23 23:59,644.1320518
6/24/23 23:59,644.4358334
6/25/23 23:59,644.7393334
6/26/23 23:59,645.0425525
6/27/23 23:59,645.3454914
6/28/23 23:59,645.648151
6/29/23 23:59,645.950532
6/30/23 23:59,646.2526352
7/1/23 23:59,646.5544613
7/2/23 23:59,646.8560111
7/3/23 23:59,647.1572855
7/4/23 23:59,647.458285
