,x,,,,
267,0.000139707,,2.95E+03,,2.95E+02
268,5897.091068,,2.95E+03,,2.95E+02
269,0.000152587,,2.89E+03,,2.89E+02
270,5774.940167,,2.89E+03,,2.89E+02
271,0.000143776,,2.89E+03,,2.89E+02
272,5789.551798,,2.89E+03,,2.89E+02
273,0.00014533,,2.89E+03,,2.89E+02
274,5777.133859,,2.89E+03,,2.89E+02
275,0.000149573,,2.94E+03,,2.94E+02
276,5885.416468,,2.94E+03,,2.94E+02
277,0.000143203,,2.84E+03,,2.84E+02
278,5689.428191,,2.84E+03,,2.84E+02
279,0.000142201,,2.83E+03,,2.83E+02
280,5653.248356,,2.83E+03,,2.83E+02
281,0.000142397,,2.81E+03,,2.81E+02
282,5623.217642,,2.81E+03,,2.81E+02
283,0.000144069,,2.89E+03,,2.89E+02
284,5788.845002,,2.89E+03,,2.89E+02
285,0.000143913,,2.85E+03,,2.85E+02
286,5694.962422,,2.85E+03,,2.85E+02
287,0.000142348,,2.81E+03,,2.81E+02
288,5629.064132,,2.81E+03,,2.81E+02
289,0.000143435,,2.84E+03,,2.84E+02
290,5687.106051,,2.84E+03,,2.84E+02
291,0.000143159,,2.87E+03,,2.87E+02
292,5740.476554,,2.87E+03,,2.87E+02
293,0.000146896,,2.95E+03,,2.95E+02
294,5895.714458,,2.95E+03,,2.95E+02
295,0.000147895,,2.97E+03,,2.97E+02
296,5935.005506,,2.97E+03,,2.97E+02
297,0.000150198,,2.98E+03,,2.98E+02
298,5968.597332,,2.98E+03,,2.98E+02
299,0.00015617,,3.20E+03,,3.20E+02
300,6409.741254,,3.20E+03,,3.20E+02
301,0.000160388,,3.17E+03,,3.17E+02
302,6337.509594,,3.17E+03,,3.17E+02
303,0.000155862,,3.09E+03,,3.09E+02
304,6180.014322,,3.09E+03,,3.09E+02
305,0.000155677,,3.14E+03,,3.14E+02
306,6279.467676,,3.14E+03,,3.14E+02
307,0.00015766,,3.17E+03,,3.17E+02
308,6342.263943,,3.17E+03,,3.17E+02
309,0.000158526,,3.12E+03,,3.12E+02
310,6246.142156,,3.12E+03,,3.12E+02
311,0.000154013,,3.03E+03,,3.03E+02
312,6054.072765,,3.03E+03,,3.03E+02
313,0.000147451,,2.95E+03,,2.95E+02
314,5899.596581,,2.95E+03,,2.95E+02
315,0.000149508,,2.98E+03,,2.98E+02
316,5968.019204,,2.98E+03,,2.98E+02
317,0.000150994,,3.00E+03,,3.00E+02
318,6005.071046,,3.00E+03,,3.00E+02
319,0.0001545,,3.06E+03,,3.06E+02
320,6118.915895,,3.06E+03,,3.06E+02
321,0.000152614,,3.04E+03,,3.04E+02
322,6074.640734,,3.04E+03,,3.04E+02
323,0.000152751,,3.03E+03,,3.03E+02
324,6069.758156,,3.03E+03,,3.03E+02
325,0.000152884,,2.96E+03,,2.96E+02
326,5929.003215,,2.96E+03,,2.96E+02
327,0.000146745,,2.93E+03,,2.93E+02
328,5863.499461,,2.93E+03,,2.93E+02
329,0.000147681,,2.95E+03,,2.95E+02
330,5908.930878,,2.95E+03,,2.95E+02
331,0.000149551,,2.97E+03,,2.97E+02
332,5935.895894,,2.97E+03,,2.97E+02
333,0.000148986,,2.96E+03,,2.96E+02
334,5921.293673,,2.96E+03,,2.96E+02
335,0.000151266,,3.01E+03,,3.01E+02
336,6020.563654,,3.01E+03,,3.01E+02
337,0.000149632,,2.97E+03,,2.97E+02
338,5947.414473,,2.97E+03,,2.97E+02
339,0.000149841,,2.98E+03,,2.98E+02
340,5953.150677,,2.98E+03,,2.98E+02
341,0.000150586,,2.99E+03,,2.99E+02
342,5985.475741,,2.99E+03,,2.99E+02
