Date,Bitcoin_Value Prediction ($)
6/26/23 23:59,73908.56399
6/27/23 23:59,73975.07399
6/28/23 23:59,74041.63693
6/29/23 23:59,74108.25294
6/30/23 23:59,74174.92217
7/1/23 23:59,74241.64476
7/2/23 23:59,74308.42084
7/3/23 23:59,74375.25056
7/4/23 23:59,74442.13405
7/5/23 23:59,74509.07146
7/6/23 23:59,74576.06292
7/7/23 23:59,74643.10858
7/8/23 23:59,74710.20857
7/9/23 23:59,74777.36303
7/10/23 23:59,74844.57211
7/11/23 23:59,74911.83593
7/12/23 23:59,74979.15464
7/13/23 23:59,75046.52839
7/14/23 23:59,75113.95729
7/15/23 23:59,75181.4415
7/16/23 23:59,75248.98116
7/17/23 23:59,75316.57639
7/18/23 23:59,75384.22734
7/19/23 23:59,75451.93415
7/20/23 23:59,75519.69696
7/21/23 23:59,75587.51589
7/22/23 23:59,75655.3911
7/23/23 23:59,75723.32271
7/24/23 23:59,75791.31087
7/25/23 23:59,75859.35571
7/26/23 23:59,75927.45737
7/27/23 23:59,75995.61598
7/28/23 23:59,76063.83168
7/29/23 23:59,76132.10462
7/30/23 23:59,76200.43492
7/31/23 23:59,76268.82272
8/1/23 23:59,76337.26817
8/2/23 23:59,76405.77139
8/3/23 23:59,76474.33252
8/4/23 23:59,76542.9517
8/5/23 23:59,76611.62906
8/6/23 23:59,76680.36474
8/7/23 23:59,76749.15889
8/8/23 23:59,76818.01162
8/9/23 23:59,76886.92308
8/10/23 23:59,76955.89341
8/11/23 23:59,77024.92273
8/12/23 23:59,77094.0112
8/13/23 23:59,77163.15893
8/14/23 23:59,77232.36607
8/15/23 23:59,77301.63275
8/16/23 23:59,77370.9591
8/17/23 23:59,77440.34527
8/18/23 23:59,77509.79139
8/19/23 23:59,77579.29759
8/20/23 23:59,77648.86401
8/21/23 23:59,77718.49078
8/22/23 23:59,77788.17803
8/23/23 23:59,77857.92591
8/24/23 23:59,77927.73455
8/25/23 23:59,77997.60408
8/26/23 23:59,78067.53463
8/27/23 23:59,78137.52634
8/28/23 23:59,78207.57935
8/29/23 23:59,78277.69379
8/30/23 23:59,78347.8698
8/31/23 23:59,78418.1075
9/1/23 23:59,78488.40703
9/2/23 23:59,78558.76853
9/3/23 23:59,78629.19213
9/4/23 23:59,78699.67797
9/5/23 23:59,78770.22618
9/6/23 23:59,78840.83689
9/7/23 23:59,78911.51023
9/8/23 23:59,78982.24635
9/9/23 23:59,79053.04538
9/10/23 23:59,79123.90744
9/11/23 23:59,79194.83267
9/12/23 23:59,79265.82121
9/13/23 23:59,79336.8732
9/14/23 23:59,79407.98875
9/15/23 23:59,79479.16802
9/16/23 23:59,79550.41112
9/17/23 23:59,79621.7182
9/18/23 23:59,79693.08939
9/19/23 23:59,79764.52482
9/20/23 23:59,79836.02462
9/21/23 23:59,79907.58893
9/22/23 23:59,79979.21789
9/23/23 23:59,80050.91162
9/24/23 23:59,80122.67026
9/25/23 23:59,80194.49394
9/26/23 23:59,80266.3828
9/27/23 23:59,80338.33697
9/28/23 23:59,80410.35657
9/29/23 23:59,80482.44176
9/30/23 23:59,80554.59265
10/1/23 23:59,80626.80938
10/2/23 23:59,80699.09209
10/3/23 23:59,80771.44091
10/4/23 23:59,80843.85597
10/5/23 23:59,80916.3374
10/6/23 23:59,80988.88534
10/7/23 23:59,81061.49991
10/8/23 23:59,81134.18127
10/9/23 23:59,81206.92952
10/10/23 23:59,81279.74482
10/11/23 23:59,81352.62729
10/12/23 23:59,81425.57707
10/13/23 23:59,81498.59428
10/14/23 23:59,81571.67907
10/15/23 23:59,81644.83156
10/16/23 23:59,81718.05188
10/17/23 23:59,81791.34018
10/18/23 23:59,81864.69658
10/19/23 23:59,81938.12122
10/20/23 23:59,82011.61422
10/21/23 23:59,82085.17573
10/22/23 23:59,82158.80587
10/23/23 23:59,82232.50478
10/24/23 23:59,82306.27259
10/25/23 23:59,82380.10944
10/26/23 23:59,82454.01545
10/27/23 23:59,82527.99076
10/28/23 23:59,82602.0355
10/29/23 23:59,82676.14981
10/30/23 23:59,82750.33382
10/31/23 23:59,82824.58766
11/1/23 23:59,82898.91146
11/2/23 23:59,82973.30536
11/3/23 23:59,83047.76949
11/4/23 23:59,83122.30399
11/5/23 23:59,83196.90898
11/6/23 23:59,83271.5846
11/7/23 23:59,83346.33098
11/8/23 23:59,83421.14826
11/9/23 23:59,83496.03656
11/10/23 23:59,83570.99603
11/11/23 23:59,83646.02679
11/12/23 23:59,83721.12898
11/13/23 23:59,83796.30273
11/14/23 23:59,83871.54817
11/15/23 23:59,83946.86544
11/16/23 23:59,84022.25467
11/17/23 23:59,84097.71599
11/18/23 23:59,84173.24954
11/19/23 23:59,84248.85545
11/20/23 23:59,84324.53385
11/21/23 23:59,84400.28487
