Date,Bitcoin_Value Prediction_NN ($)
10/18/22 23:59,129273.3658
10/19/22 23:59,126404.815
10/20/22 23:59,132721.7754
10/21/22 23:59,128242.229
10/22/22 23:59,129611.642
10/23/22 23:59,128980.0242
10/24/22 23:59,128207.3367
10/25/22 23:59,121491.3215
10/26/22 23:59,114208.4495
10/27/22 23:59,120607.7171
10/28/22 23:59,127296.3288
10/29/22 23:59,117664.2209
10/30/22 23:59,98901.47435
10/31/22 23:59,116436.5738
11/1/22 23:59,118863.1164
11/2/22 23:59,115794.2487
11/3/22 23:59,114345.6298
11/4/22 23:59,115347.0188
11/5/22 23:59,129669.3301
11/6/22 23:59,138515.6952
11/7/22 23:59,135547.7414
11/8/22 23:59,135282.4661
11/9/22 23:59,131469.259
11/10/22 23:59,127134.0531
11/11/22 23:59,129027.2019
11/12/22 23:59,129136.0443
11/13/22 23:59,128853.5975
11/14/22 23:59,131285.0634
11/15/22 23:59,130761.7148
11/16/22 23:59,130032.2242
11/17/22 23:59,130031.8257
11/18/22 23:59,129859.4845
11/19/22 23:59,128263.2648
11/20/22 23:59,125853.9834
11/21/22 23:59,126511.4766
11/22/22 23:59,122788.8976
11/23/22 23:59,119388.9862
11/24/22 23:59,115818.063
11/25/22 23:59,115988.4164
11/26/22 23:59,116932.5491
11/27/22 23:59,118686.1873
11/28/22 23:59,119041.6142
11/29/22 23:59,107879.9191
11/30/22 23:59,102494.0004
12/1/22 23:59,102001.5748
12/2/22 23:59,96049.44386
12/3/22 23:59,94788.83481
12/4/22 23:59,97647.19928
12/5/22 23:59,94937.93016
12/6/22 23:59,88631.51764
12/7/22 23:59,90607.6686
12/8/22 23:59,93361.11462
12/9/22 23:59,94455.55507
12/10/22 23:59,93217.93591
12/11/22 23:59,92704.72022
12/12/22 23:59,92131.95232
12/13/22 23:59,82288.30125
12/14/22 23:59,80036.80446
12/15/22 23:59,87747.54585
12/16/22 23:59,84371.64394
12/17/22 23:59,89847.06826
12/18/22 23:59,99669.10625
12/19/22 23:59,107262.0747
12/20/22 23:59,104450.8951
12/21/22 23:59,99592.74342
12/22/22 23:59,99943.77106
12/23/22 23:59,102786.6995
12/24/22 23:59,103078.0699
12/25/22 23:59,101694.0042
12/26/22 23:59,100260.1752
12/27/22 23:59,101171.3902
12/28/22 23:59,96766.37453
12/29/22 23:59,93867.38378
12/30/22 23:59,91903.10647
12/31/22 23:59,89313.33311
1/1/23 23:59,91145.71355
1/2/23 23:59,91074.82933
1/3/23 23:59,93380.89657
1/4/23 23:59,92167.32709
1/5/23 23:59,90390.57669
1/6/23 23:59,89286.33186
1/7/23 23:59,88973.7285
1/8/23 23:59,89554.48949
1/9/23 23:59,89636.51114
1/10/23 23:59,91035.86479
1/11/23 23:59,91790.98574
1/12/23 23:59,92723.17166
1/13/23 23:59,91360.46671
1/14/23 23:59,89690.8299
1/15/23 23:59,90150.73621
1/16/23 23:59,91201.4187
1/17/23 23:59,91658.06488
1/18/23 23:59,92108.32951
1/19/23 23:59,92344.09089
1/20/23 23:59,91726.21005
1/21/23 23:59,91446.95448
1/22/23 23:59,95955.12314
1/23/23 23:59,100437.8922
1/24/23 23:59,104266.2855
1/25/23 23:59,108999.1726
1/26/23 23:59,107049.0103
1/27/23 23:59,112880.5158
1/28/23 23:59,118660.2057
1/29/23 23:59,117079.3593
1/30/23 23:59,117189.061
1/31/23 23:59,116626.9087
2/1/23 23:59,121703.4012
2/2/23 23:59,125948.5352
2/3/23 23:59,132880.7328
2/4/23 23:59,131785.4312
2/5/23 23:59,135702.2199
2/6/23 23:59,132641.597
2/7/23 23:59,133671.9286
2/8/23 23:59,134837.1704
2/9/23 23:59,133762.6844
2/10/23 23:59,134800.7667
2/11/23 23:59,133530.3522
2/12/23 23:59,133947.8944
2/13/23 23:59,132335.5799
2/14/23 23:59,124359.7243
2/15/23 23:59,123113.2506
2/16/23 23:59,117959.9189
2/17/23 23:59,117776.1828
2/18/23 23:59,122767.6891
2/19/23 23:59,123179.299
2/20/23 23:59,125134.4087
2/21/23 23:59,124116.3738
2/22/23 23:59,121837.529
2/23/23 23:59,121898.9412
2/24/23 23:59,123117.3015
2/25/23 23:59,122080.5597
2/26/23 23:59,120841.003
2/27/23 23:59,118273.6141
2/28/23 23:59,117576.3298
3/1/23 23:59,120942.5544
3/2/23 23:59,123313.699
3/3/23 23:59,123207.0212
3/4/23 23:59,127820.142
3/5/23 23:59,133085.488
3/6/23 23:59,133137.1371
3/7/23 23:59,132412.369
3/8/23 23:59,131397.1561
